ALKBH2	220	2	20	274	95	449
ALKBH3	1660	53	114	1609	569	2281
ALKBH4	674	26	79	798	198	1099
ALKBH5	4078	113	418	4355	1421	7321
ALKBH6	406	7	66	278	103	542
ALKBH7	110	5	10	57	17	116
ALKBH8	1799	44	158	2626	781	3595
ALLC	?	?	?	22	1	9
ALMS1	12186	284	1091	9670	3349	12051
ALMS1P	55	4	4	21	4	45
ALOX12	182	3	17	144	38	180
ALOX12B	52	6	7	2	39
ALOX12P2	263	8	22	183	55	267
ALOX15	62	2	4	51	13	84
ALOX15B	?	?	?	?	?	4
ALOX5	34	7	10	6	24
ALOX5AP	22	4	15	13	53
ALOXE3	106	3	8	80	15	106
ALPK1	1256	33	123	1014	279	1218
ALPK2	11015	338	1167	7292	2407	9923
ALPK3	50	14	8	52	15	95
ALPL	88	2	7	57	19	75
ALPP	372	6	55	318	141	645
ALPPL2	?	?	?	?	?	8
ALS2	6257	162	584	5720	1828	7607
ALS2CL	304	11	36	240	84	466
ALS2CR11	982	35	113	1012	321	1548
ALS2CR12	222	1	26	245	75	265
ALS2CR8	774	26	85	830	263	1250
ALX1	?	?	?	?	?	3
ALX3	163	3	27	129	60	197
ALX4	91	4	18	91	34	142
ALYREF	3405	108	534	3517	1091	6515
AMACR	931	15	79	879	304	1437
AMBP	?	?	?	?	?	12
AMBRA1	4445	193	558	6071	1974	9314
AMD1	10848	327	943	14291	4299	19930
AMDHD1	34	2	8	24	7	35
AMDHD2	560	20	111	295	100	669
AMELX	23	2	23	4	43
AMELY	?	?	?	?	?	1
AMER1	1066	30	134	1303	389	1884
AMER3	129	3	27	167	43	256
AMFR	13305	407	1279	8237	2651	11988
AMH	112	6	11	51	19	125
AMHR2	?	?	?	?	?	3
AMIGO1	649	24	62	403	108	539
AMIGO2	1224	49	126	1876	615	2695
AMIGO3	270	7	69	135	50	350
AMMECR1	1838	42	196	1756	617	2784
AMMECR1L	2798	88	302	2443	783	3592
AMN	?	?	?	?	?	5
AMN1	194	25	239	84	248
AMOT	913	17	107	443	111	691
AMOTL1	9341	245	1003	9903	3193	14805
AMOTL2	5839	171	704	6669	2086	10879
AMPD1	10	2	21	3	21
AMPD2	2288	75	324	3044	1020	5555
AMPD3	1652	30	238	3966	1329	6180
AMPH	1473	42	145	1042	348	1375
AMT	249	9	29	162	57	227
AMTN	?	?	?	38	11	47
AMY1A	?	?	?	6	9	27
AMY1B	?	?	?	6	9	27
AMY1C	?	?	?	6	9	27
AMY2A	?	?	?	?	?	11
AMY2B	124	10	69	24	117
AMZ1	107	6	17	114	33	205
AMZ2	2670	85	269	2920	977	4164
AMZ2P1	362	14	38	343	108	406
ANAPC1	19561	602	1840	18195	5703	24256
ANAPC10	1318	34	96	1397	486	2075
ANAPC11	856	26	122	459	144	1158
ANAPC13	3132	71	302	3385	1086	5019
ANAPC15	1402	52	115	1074	316	1710
ANAPC16	5158	221	548	6030	1682	8150
ANAPC1P1	1369	38	134	1372	369	1702
ANAPC2	682	28	95	423	161	917
ANAPC4	3117	63	300	3233	1063	4710
ANAPC5	6954	179	726	5446	1617	8011
ANAPC7	5069	174	437	4573	1552	5805
ANG	160	15	93	22	128
ANGEL1	2157	46	199	2209	616	2990
ANGEL2	2543	58	279	3162	902	4377
ANGPT1	?	?	?	14	6	29
ANGPT2	568	17	87	684	200	867
ANGPT4	?	?	?	?	?	5
ANGPTL1	527	13	24	442	129	461
ANGPTL2	1662	56	211	1261	414	2184
ANGPTL3	575	9	56	478	131	622
ANGPTL4	38	9	754	218	1311
ANGPTL5	?	?	?	7	3	13
ANGPTL6	561	15	72	586	183	956
ANGPTL7	399	2	32	449	117	568
ANHX	?	?	?	?	2	2
ANK1	590	17	77	367	97	693
ANK2	170	4	9	104	56	140
ANK3	?	?	?	50	5	33
ANKAR	330	17	36	341	111	464
ANKDD1A	331	15	62	311	101	446
ANKDD1B	24	6	5	5	21
ANKEF1	642	16	84	580	203	972
ANKFN1	?	?	?	?	?	3
ANKFY1	10120	285	1193	9470	3318	14098
ANKH	1675	62	186	2104	690	2991
ANKHD1	12650	352	1188	10606	3603	14286
ANKHD1-EIF4EBP3	12305	346	1159	10386	3487	13901
ANKIB1	10054	242	946	9848	2986	13768
ANKK1	72	12	4	82	17	105
ANKLE1	675	31	79	773	286	1019
ANKLE2	10690	291	1134	9286	2828	13686
ANKMY1	105	12	79	25	94
ANKMY2	2946	52	255	2884	991	4358
ANKRA2	1153	18	100	1182	365	1861
ANKRD1	550	20	66	975	321	1388
ANKRD10	2184	61	245	1767	644	2793
ANKRD11	6258	210	904	6319	2027	10210
ANKRD12	8572	272	919	8003	2583	11316
ANKRD13A	12555	396	1169	12321	3999	16754
ANKRD13B	534	16	72	539	167	803
ANKRD13C	3460	78	326	3000	889	4250
ANKRD13D	622	30	121	458	124	1045
ANKRD16	601	19	88	829	250	1077
ANKRD17	18896	470	1760	19410	6280	24518
ANKRD18A	554	6	61	614	130	673
ANKRD18B	2100	47	255	2347	725	3112
ANKRD18DP	14	4	13	1	24
ANKRD19P	144	7	25	152	39	165
ANKRD20A1	515	23	111	629	142	663
ANKRD20A11P	59	3	8	46	20	54
ANKRD20A12P	1270	24	150	1220	403	1726
ANKRD20A2	1014	30	215	1115	265	1173
ANKRD20A3	2113	53	416	2308	629	2561
ANKRD20A4	603	23	108	646	153	693
ANKRD20A5P	651	19	70	449	164	756
ANKRD20A8P	264	17	46	261	79	363
ANKRD20A9P	52727	1606	5693	57531	18574	70863
ANKRD22	45	3	68	16	78
ANKRD23	151	2	24	105	49	201
ANKRD24	?	?	?	?	?	15
ANKRD26	5207	134	461	3464	1312	5657
ANKRD26P1	51	2	14	57	28	84
ANKRD26P3	?	?	?	?	?	2
ANKRD27	3886	123	403	3749	1271	5530
ANKRD28	8776	232	867	8234	2785	11471
ANKRD29	161	3	17	132	54	231
ANKRD30A	99	2	9	67	20	82
ANKRD30B	4374	115	490	4436	1306	6158
